"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Epoch","Step","Test action ppl","Test loss","Test ppl","Test word ppl","Valid action ppl","Valid loss","Valid ppl","Valid word ppl","architecture","data","fold","lang","total_epoch","traversal","model_path"
"lucky-totem-627","finished","-","kuribayashi4","","2023-06-08T16:49:29.000Z","1698","","11","11","1.0655897962989749","76769.66777992249","1.8286063214749135","6.304658320037833","1.0664331297037206","75830.06770944595","1.8262867697040337","6.30541488719834","RNNG","basic","0","1000000","10","in_order",""
"devoted-sky-626","finished","-","kuribayashi4","","2023-06-08T16:20:29.000Z","1613","","11","11","1.0602116923799163","77994.31897068024","1.846297287839284","6.583598096735909","1.0615456071223286","76981.22612524033","1.8430613421301787","6.567888947332387","RNNG","basic","0","0111111","10","in_order",""
"bumbling-frost-625","finished","-","kuribayashi4","","2023-06-08T16:20:13.000Z","1621","","11","11","1.067011280950763","78693.73185634613","1.8564774895230336","6.606344785162359","1.06819733682419","77642.24958181381","1.8527632624155088","6.5873281375931025","RNNG","basic","0","1111111","10","in_order",""
"gentle-thunder-624","finished","-","kuribayashi4","","2023-06-08T15:53:03.000Z","1620","","11","11","1.0443639089158072","77527.45800495148","1.839533048482324","6.732975997394083","1.0456998542414826","76475.64182472229","1.835675123648079","6.709798294906699","RNNG","basic","0","0111110","10","in_order",""
"silver-violet-623","finished","-","kuribayashi4","","2023-06-08T15:52:40.000Z","1621","","11","11","1.0440292666301638","75617.60091924667","1.812118657072895","6.4129685537704315","1.045644928665463","74596.70395684242","1.8084836884580568","6.387813518999114","RNNG","basic","0","1111110","10","in_order",""
"dazzling-moon-622","finished","-","kuribayashi4","","2023-06-08T15:25:11.000Z","1646","","11","11","1.0530176335070287","79366.16253638268","1.866317877546754","6.928835470298118","1.0540473790822995","78283.45932936668","1.862223169819932","6.908045363068837","RNNG","basic","0","0111101","10","in_order",""
"youthful-pond-621","finished","-","kuribayashi4","","2023-06-08T15:24:40.000Z","1650","","11","11","1.0508638739323497","78859.11974072456","1.8588929631711029","6.870669225712611","1.0517787734575377","77814.65952014923","1.8553021302266473","6.857545605716376","RNNG","basic","0","1111101","10","in_order",""
"colorful-glade-620","finished","-","kuribayashi4","","2023-06-08T14:56:49.000Z","1661","","11","11","1.0365568985150546","79150.5832464695","1.8631574108576956","7.1436483944501505","1.0364738706420678","78034.1521115303","1.8585393605224656","7.13399803614296","RNNG","basic","0","0111100","10","in_order",""
"giddy-elevator-619","finished","-","kuribayashi4","","2023-06-08T14:56:23.000Z","1654","","11","11","1.0380460017075748","76325.3877465725","1.822230365485782","6.6181358312683525","1.0379465898421985","75189.86859089136","1.8170240007754332","6.5993794734129105","RNNG","basic","0","1111100","10","in_order",""
"distinctive-puddle-618","finished","-","kuribayashi4","","2023-06-08T14:29:33.000Z","1597","","11","11","1.0505543974270364","77589.53376889229","1.840431019237082","6.6530681121374515","1.0526364649958695","76682.80053329468","1.838697975242368","6.644406527595225","RNNG","basic","0","0111011","10","in_order",""
"charmed-silence-617","finished","-","kuribayashi4","","2023-06-08T14:29:01.000Z","1602","","11","11","1.0495229210353432","78073.87519454956","1.8474524372561956","6.752176914199226","1.051309689951908","77025.50625419617","1.843709656296362","6.723924731111268","RNNG","basic","0","1111011","10","in_order",""
"major-brook-616","finished","-","kuribayashi4","","2023-06-08T14:01:12.000Z","1661","","11","11","1.0361082768361274","78718.64467358589","1.856841137861115","7.071245993052501","1.0374731436647038","77728.66190052032","1.854035315120304","7.061355492175252","RNNG","basic","0","0111010","10","in_order",""
"eternal-music-615","finished","-","kuribayashi4","","2023-06-08T14:00:49.000Z","1651","","11","11","1.0415060328128023","77102.25905609131","1.8333940061046952","6.701243721609703","1.0426946298400863","76050.59244585037","1.8294883703005085","6.679518777887228","RNNG","basic","0","1111010","10","in_order",""
"astral-sound-614","finished","-","kuribayashi4","","2023-06-08T13:33:54.000Z","1599","","11","11","1.0274502055729724","78558.0912951231","1.8544988154256268","7.178672754372572","1.028143680447413","77543.03354799747","1.8513038059070153","7.174788237975653","RNNG","basic","0","0111001","10","in_order",""
"stellar-salad-613","finished","-","kuribayashi4","","2023-06-08T13:33:25.000Z","1604","","11","11","1.0282637593146926","78928.25122308731","1.8599035527707128","7.234639950800477","1.0290927504683145","77886.4049115181","1.8563596606490695","7.224348704593434","RNNG","basic","0","1111001","10","in_order",""
"dry-salad-612","finished","-","kuribayashi4","","2023-06-08T13:06:23.000Z","1612","","11","11","1.0136125987013995","79005.95202721655","1.8610400676864265","7.491610611922633","1.0134577075922253","77881.73299980164","1.856290778107284","7.482732232268091","RNNG","basic","0","0111000","10","in_order",""
"generous-wave-611","finished","-","kuribayashi4","","2023-06-08T13:06:02.000Z","1602","","11","11","1.0141780261510338","76314.54277153313","1.8220750052513504","6.97860165534513","1.013903349541532","75199.16781319678","1.8171582104441697","6.967125341760495","RNNG","basic","0","1111000","10","in_order",""
"fresh-violet-610","finished","-","kuribayashi4","","2023-06-08T12:39:02.000Z","1602","","11","11","1.0640307273417426","78430.16179227829","1.8526345599077343","6.603635477519282","1.0656280845080768","77423.51392197609","1.849547212405408","6.5860619471765975","RNNG","basic","0","0110111","10","in_order",""
"easy-snow-609","finished","-","kuribayashi4","","2023-06-08T12:38:44.000Z","1598","","11","11","1.0617402140254717","77629.69082736969","1.841012153579137","6.5002612448140376","1.063616016520887","76630.39988970757","1.837932877151296","6.478569870996932","RNNG","basic","0","1110111","10","in_order",""
"flowing-leaf-608","finished","-","kuribayashi4","","2023-06-08T12:11:37.000Z","1609","","11","11","1.057306959255984","77815.12228155136","1.843698012581535","6.594472029310495","1.058975689169089","76843.67803382874","1.8410489267754753","6.580867662382186","RNNG","basic","0","0110110","10","in_order",""
"fast-elevator-607","finished","-","kuribayashi4","","2023-06-08T12:11:20.000Z","1608","","11","11","1.0583770757749602","75628.10915637016","1.812268370579185","6.217143091250305","1.0594736390471315","74578.61588287354","1.8082238902225176","6.194458876616832","RNNG","basic","0","1110110","10","in_order",""
"serene-shape-606","finished","-","kuribayashi4","","2023-06-08T11:44:10.000Z","1610","","11","11","1.053157067918017","78940.46403336525","1.8600821412463049","6.850835892489651","1.0536297796757856","77899.63810783625","1.856554784416856","6.845072962683591","RNNG","basic","0","0110101","10","in_order",""
"still-serenity-605","finished","-","kuribayashi4","","2023-06-08T11:43:57.000Z","1606","","11","11","1.053873839394076","79008.21143317223","1.8610731259772424","6.8521651122268","1.0547981248554017","77987.45117723942","1.8578501097502085","6.843370391246051","RNNG","basic","0","1110101","10","in_order",""
"rural-wind-603","finished","-","kuribayashi4","","2023-06-08T11:15:53.000Z","1659","","11","11","1.05371462137656","79613.9120862484","1.8699565927010369","6.962838828981559","1.0538893538391836","78448.56449085474","1.864666812135265","6.9404315390685065","RNNG","basic","0","0110100","10","in_order",""
"splendid-smoke-604","finished","-","kuribayashi4","","2023-06-08T11:15:53.000Z","1647","","11","11","1.050315916607192","76376.13406729698","1.822957510484844","6.450735539359468","1.0500412268045485","75252.6263665855","1.817929935531557","6.436195686361127","RNNG","basic","0","1110100","10","in_order",""
"major-fog-602","finished","-","kuribayashi4","","2023-06-08T10:47:36.000Z","1655","","11","11","1.052469358082164","77815.61633586884","1.8437051738816723","6.66423625671304","1.0545641826342718","76791.44824934006","1.84028534780644","6.6353515417054485","RNNG","basic","0","1110011","10","in_order",""
"treasured-terrain-601","finished","-","kuribayashi4","","2023-06-08T10:47:35.000Z","1658","","11","11","1.0527345892235265","77800.97351145744","1.8434929384557577","6.657864940308244","1.0547460879828323","76655.56616640091","1.838300288435792","6.609111462116834","RNNG","basic","0","0110011","10","in_order",""
"vocal-butterfly-598","finished","-","kuribayashi4","","2023-06-08T09:22:08.000Z","1595","","11","11","1.0496883703589737","78100.12049484253","1.8478336752406717","6.754324276571387","1.0512275341768391","77101.89572119713","1.8448286257680864","6.7386274583145225","RNNG","basic","0","0110010","10","in_order",""
"playful-moon-597","finished","-","kuribayashi4","","2023-06-08T09:01:29.000Z","1605","","11","11","1.049512793532809","75782.98655843735","1.8144763831582784","6.363611095867613","1.0504641231898932","74746.991345644","1.8106437037909269","6.345486522083292","RNNG","basic","0","1110010","10","in_order",""
"ancient-snowball-596","finished","-","kuribayashi4","","2023-06-08T08:54:55.000Z","1594","","11","11","1.0293523887961036","78718.11397236586","1.856833390559301","7.177970724998361","1.030090076644745","77568.45140057802","1.851677590039811","7.148365599441819","RNNG","basic","0","0110001","10","in_order",""
"fresh-field-595","finished","-","kuribayashi4","","2023-06-08T08:34:21.000Z","1593","","11","11","1.0301088901183746","78821.79834216833","1.858347613411312","7.185149756333088","1.0308821170788185","77872.69540971518","1.8561575353744877","7.192910153359608","RNNG","basic","0","1110001","10","in_order",""
"pious-butterfly-594","finished","-","kuribayashi4","","2023-06-08T08:26:45.000Z","1654","","11","11","1.026902125792414","79178.2086482048","1.8635621096041295","7.303742504417293","1.0265441062261988","77985.92586147785","1.8578276021977125","7.284725571762042","RNNG","basic","0","0110000","10","in_order",""
"glad-breeze-593","finished","-","kuribayashi4","","2023-06-08T08:10:45.000Z","554","","11","11","1.062080585142673","78704.8957695961","1.86731813936562","6.646324198458659","1.064131357599427","82757.29153060913","1.875013694281687","6.684986026385052","RNNG","basic","20000","1111111","10","top_down",""
"bright-dawn-592","finished","-","kuribayashi4","","2023-06-08T08:07:09.000Z","1597","","11","11","1.027248377868297","76182.12620660663","1.8201791329832904","6.7535738440017745","1.0271543201122797","75219.11138942838","1.8174460766260196","6.765376090322182","RNNG","basic","0","1110000","10","in_order",""
"astral-smoke-591","finished","-","kuribayashi4","","2023-06-08T08:01:07.000Z","548","","11","11","1.0928632819889033","78453.98154449463","1.8636041188380208","6.192326651210667","1.095728675298051","82728.66279220581","1.8746059962915225","6.255689522322168","RNNG","basic","20000","1111101","10","top_down",""
"dandy-valley-590","finished","-","kuribayashi4","","2023-06-08T07:59:10.000Z","1613","","11","11","1.058610369198583","77830.20568156242","1.843916658478832","6.578444759359926","1.0605655219865229","76915.05353283882","1.8420929209308017","6.570460162391911","RNNG","basic","0","0101111","10","in_order",""
"ruby-paper-589","finished","-","kuribayashi4","","2023-06-08T07:51:30.000Z","548","","11","11","1.0554013402249205","77639.16967916489","1.8515941801288187","6.558591355482704","1.0578734638342968","81800.66583919525","1.8614384175729264","6.616237772294826","RNNG","basic","20000","1111011","10","top_down",""
"royal-snow-588","finished","-","kuribayashi4","","2023-06-08T07:41:53.000Z","550","","11","11","1.0686550226976452","78586.4766163826","1.86556438323663","6.53469678927036","1.0709886962506163","82645.70201206207","1.873425063627473","6.571215410827471","RNNG","basic","20000","1111001","10","top_down",""
