lang,traversal,Test ppl
1111110,top_down,2.775478245794145
0000110,in_order,2.7293410455965357
1001010,in_order,2.8321499294127426
0100000,top_down,2.9041078140086505
0100000,in_order,2.9520004258698824
1101100,top_down,2.8334703897586007
1101100,in_order,2.8718960303091974
0010100,in_order,2.8117685618156054
1011000,in_order,2.888546848733041
1011000,top_down,2.7262493251060738
1000100,in_order,2.7988573140320443
0001000,in_order,2.8461627233301265
1110000,in_order,2.9009072904699846
1110000,top_down,2.83164833492791
0111100,top_down,2.871604064573013
0111100,in_order,2.866896556955698
1010110,top_down,2.6432974414894232
1010110,in_order,2.73068154269744
0011010,in_order,2.8537633863533713
0011010,top_down,2.75770670468786
1100010,in_order,2.9116233392691235
1100010,top_down,2.859677637124317
0101110,in_order,2.827627688646957
0101110,top_down,2.8231174652484246
0010010,in_order,2.8522363442695795
1011110,in_order,2.7543973658312497
1011110,top_down,2.639869015417652
0100110,top_down,2.8243901859762484
0100110,in_order,2.8080228097997457
1101010,in_order,2.9747902684950875
1101010,top_down,2.863708037512596
0000000,in_order,2.828014491398678
1001100,in_order,2.793195883504856
0110100,in_order,2.869571675359379
0110100,top_down,2.8551806955077788
1111000,in_order,2.9353538050353736
1111000,top_down,2.821929027602015
1111100,top_down,2.778731798485452
1111100,in_order,2.864241272259162
0110000,top_down,2.886228950226068
0110000,in_order,2.870774748283982
1001000,in_order,2.810377958239699
0000100,in_order,2.82633227964674
1101110,top_down,2.800975592038656
1101110,in_order,2.8303516052178685
0100010,in_order,2.9300855298683737
0100010,top_down,2.884679956662448
1011010,in_order,2.8932384754345
1011010,top_down,2.7435715669424083
0010110,top_down,2.6597757520187324
0010110,in_order,2.714120647341949
0101010,in_order,2.9874936324545476
0101010,top_down,2.871155904670458
1100110,top_down,2.812772678501512
1100110,in_order,2.820089853640405
0011110,top_down,2.687941257164908
0011110,in_order,2.730334472782897
1010010,in_order,2.8476097906263713
0111000,top_down,2.876886396009411
0111000,in_order,2.8986320898561457
1110100,in_order,2.8299987462603817
1110100,top_down,2.7859654387745
0001100,in_order,2.833171236885329
1000000,top_down,2.7311185914947753
1000000,in_order,2.800722888176303
