,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
296,LSTM-action_td,20000,2.0,-0.004311313840586032,0,-313.00591083082753,0.014319639404104578,0.36300925070850776,0.04140910995239663,-0.41301101104390836,"LRLRRR, LRRLLL, RLLRRL"
297,LSTM-action_td,40000,2.0,-0.017830367092355963,0,-313.2646112938154,0.06510192736733282,0.3365370102976372,0.12912143642955012,-0.34049053073962765,"RLLRRR, LRLRRR, LRLRRL"
298,LSTM-action_td,60000,2.0,-0.020984532393522815,0,-313.34545981643487,0.07413076892044194,0.37351601035433635,-0.0787201075030741,-0.14812364260098584,"RLLRRL, LRLRRR, LRRLRL"
299,LSTM-action_td,80000,2.0,-0.02852357782535035,0,-313.80872873498095,0.11255299779995456,0.28801886414187733,-0.017940416168766127,-0.23361962612087342,"LRLRRL, LRRRRL, LRRRRR"
300,LSTM-action_lc-as,0,2.0,-0.02192982025521827,0,-315.5665416270914,0.19853725204591965,0.4098424777614434,0.22598249892294434,0.020616956709436307,"RLLRRR, LLLLLL, LLLRLL"
301,LSTM-action_lc-as,20000,2.0,-0.030718954945265484,0,-316.2076757166785,0.22134103268785033,0.36852405472958116,0.2595808231871751,-0.03745928077391236,"LLLLLL, RLLLRR, LLRRLL"
302,LSTM-action_lc-as,40000,2.0,-0.024425963910814946,0,-316.1297021419872,0.21870641997855578,0.3889282672501194,0.18132698897176394,0.05999253938627908,"RLRLLL, RLLRRR, LLLLLL"
303,LSTM-action_lc-as,60000,2.0,-0.02880932198125897,0,-317.17578809091805,0.25153382100531585,0.433045965379801,0.18622277091028538,-0.0676839926391355,"LLRRLL, RLLRRR, LLLLLL"
304,LSTM-action_lc-as,80000,2.0,-0.032806670236959504,0,-318.60043088152,0.28963867687343586,0.417592153993487,0.22390595847327452,0.04276813834822572,"RLRRRR, LLLLLL, LLRLLL"
305,RNN-action_td,0,2.0,-0.0010502459541106989,0,-313.2681654606847,0.06552524629373763,0.1644248361978858,0.011343800292541811,-0.4748043520044932,"RLRRRR, LRLRRR, RLLRRR"
306,RNN-action_td,20000,2.0,0.00017894309818832464,0,-313.00133447848594,-0.011556758785339502,0.15294006587896372,-0.002789028072834987,-0.5862621900074554,"RRLRLR, RRLLLR, RLRLRR"
307,RNN-action_td,40000,2.0,0.001821837477829878,0,-313.7155094439164,-0.1059671170736182,0.026843608361853784,-0.12942806920735755,-0.5994958015525915,"RRLLLR, RRRLLR, RLRRRR"
308,RNN-action_td,60000,2.0,0.0022158388333887533,0,-314.45529869895915,-0.15030846506159798,0.10440358682084562,-0.07320516285860645,-0.583370960604443,"RRRRRR, RLLRRR, RLRRRR"
309,RNN-action_td,80000,2.0,0.0010852391875764628,0,-313.3539890582363,-0.07501932489638938,-0.015390391000037949,-0.10405412710198886,-0.4395396734917275,"RLRRRR, RRLLLR, RRLRRR"
310,RNN-action_lc-as,0,2.0,-0.0017961008780150011,0,-313.8603992927342,0.11603870216752131,0.31008779572803225,0.16115249798233136,0.02223206669756833,"RLRRLL, RLRRRR, RLLRLL"
